luisdrayton	6073175	2215	0	907	177	1446	2411	2740
claudiolara	55255994	3989	542	6226	679	75883	8488	236
rizzato	5243363	2928	1	2588	2	1039	1551	1348
4kleuren	17497515	5681	716	72396	396	119815	1205	1098
glosackmd	47364258	5314	12	0	99	8962	5767	13
the_hookups	3893793	24630	41708	3762	494	50559	1013	124
handosnapdada	3780	34	0	8	3	63	12	32
stamps-selos-franco-timbre-bollos	17571350	8883	1732	158829	1537	1737	10164	22545
djmonalisa	224809	184	0	0	0	507	78	0
jerryreuss	6743189	1333	1467	7002	395	1510	636	235
angelo_nairod	7444811	1468	0	19213	723	152	5798	2222
chrisinplymouth	15047682	9470	3483	61886	996	18886	1406	657
iawob	8605496	1066	105	513	75	410	5693	958
bou5zou57ki1208yasu	11825763	17906	39	8708	161	15555	800	147
townerassociates	3445811	4620	294	2514	580	1845	524	438
None	76058	40	0	1	10	202	41	45
angelgirlragdolls	1723013	596	1	924	52	1218	139	148
hedbavny	32045359	20553	2307	242169	743	5800	3091	740
alveolo	0	0	0	0	0	0	0	0
tatianasantosmg	40217	312	287	68	21	650	50	16
90250231n0510041136096	28417086	15753	22027	32560	1746	4357	1965	469
beargills	620701	110	0	11309	684	53	20755	822
markliddell	7031056	7300	1785	1655	288	1384	1388	315
nathanarrington	165972552	8659	6782	1114	4500	4664	11543	2021
tanyapalazzo	98538	930	0	113	42	123	69	56
konradku	2008686	1242	268	6654	43	557	790	248
fredcan	16418511	5650	3058	7176	309	3720	4255	821
blueocean64	19534527	319	827	220	41	827	4149	40
bernardibruno	428296	193	0	972	290	203	1103	967
neamoscou	9963431	1138	24	5569	2623	722	11533	0
klick_klack	895755	807	82	5154	153	82	1117	903
lyndoroney	0	0	0	0	0	0	0	0
espaciomilciento	342558	285	123	4503	159	200	604	427
pj_photos_	3323610	2969	833	13485	97	951	1539	144
michael_allen	1739287	1025	142	21	4	220	81	11
worldtravellib	6317226	9286	1175	308110	988	11608	3071	2642
aceanorak	18882882	6688	3800	126	193	26358	752	113
landfallvoyages	38922	73	0	0	19	194	4	3
deporcelaine	43333	148	0	14	30	192	11	2
santacruzpl	1559471	1223	77	83	1	7556	34	36
paolococcia	1431061	1361	0	3046	41	725	1316	93
sachivixen	187090	227	0	3048	402	88	1759	2346
maxfrenchfries	0	0	0	0	0	0	0	0
navarzo21	0	0	0	0	0	0	0	0
expresso-shots	142981	106	0	0	40	44	63	21
nakanari	284529	1052	0	10	88	1466	766	637
ortziomenaka	5438759	3368	10842	187	52	10581	691	32
tomsaint	10192115	49113	361	1753	1026	2689	614	17
doncampeon	391125	59	3815	65	1	4869	44	31
vortexmind	0	0	0	0	0	0	0	0
misajirak	967474	490	83	1626	459	594	1114	817
leannaperry12	221690	1425	0	291	13	487	85	100
lnewman333	3548951	11424	26620	668	148	28262	101	34
circlesofcircles	0	0	0	943	61	0	351	121
eifel85	22390138	2800	1	3	125	4780	2257	35
cinthiaemerich	3541314	2149	0	274	199	1683	1486	700
ianinho	20073	1487	1218	27	6	290	8	33
